filters,dropout,num_filters,lr,best_val_acc
"(2, 3, 4)",0.3,64,0.001,0.848463314976017
"(2, 3, 4)",0.3,64,0.0007,0.8362053650737253
"(2, 3, 4)",0.3,64,0.0005,0.8275004441286197
"(2, 3, 4)",0.3,100,0.001,0.8184402202877954
"(2, 3, 4)",0.3,100,0.0007,0.8102682536862675
"(2, 3, 4)",0.3,100,0.0005,0.8108012080298455
"(2, 3, 4)",0.3,150,0.001,0.7990762124711316
"(2, 3, 4)",0.3,150,0.0007,0.800497424054006
"(2, 3, 4)",0.3,150,0.0005,0.8026292414283176
"(2, 3, 4)",0.5,64,0.001,0.7937466690353526
"(2, 3, 4)",0.5,64,0.0007,0.7951678806182271
"(2, 3, 4)",0.5,64,0.0005,0.7910818973174631
"(2, 3, 4)",0.5,100,0.001,0.7848640966423877
"(2, 3, 4)",0.5,100,0.0007,0.7875288683602771
"(2, 3, 4)",0.5,100,0.0005,0.786285308225262
"(2, 3, 4)",0.5,150,0.001,0.7839758394030911
"(2, 3, 4)",0.5,150,0.0007,0.7823769763723575
"(2, 3, 4)",0.5,150,0.0005,0.7846864451945283
"(2, 3, 4)",0.7,64,0.001,0.7763368271451412
"(2, 3, 4)",0.7,64,0.0007,0.7788239474151715
"(2, 3, 4)",0.7,64,0.0005,0.7777580387280156
"(2, 3, 4)",0.7,100,0.001,0.7754485699058448
"(2, 3, 4)",0.7,100,0.0007,0.7758038728015634
"(2, 3, 4)",0.7,100,0.0005,0.7766921300408598
"(2, 3, 4)",0.7,150,0.001,0.7724284952922367
"(2, 3, 4)",0.7,150,0.0007,0.7756262213537041
"(2, 3, 4)",0.7,150,0.0005,0.7731391010836738
"(3, 4, 5)",0.3,64,0.001,0.7717178895007994
"(3, 4, 5)",0.3,64,0.0007,0.7740273583229703
"(3, 4, 5)",0.3,64,0.0005,0.7727837981879553
"(3, 4, 5)",0.3,100,0.001,0.7731391010836738
"(3, 4, 5)",0.3,100,0.0007,0.7724284952922367
"(3, 4, 5)",0.3,100,0.0005,0.7734944039793924
"(3, 4, 5)",0.3,150,0.001,0.7713625866050808
"(3, 4, 5)",0.3,150,0.0007,0.7722508438443774
"(3, 4, 5)",0.3,150,0.0005,0.7720731923965181
"(3, 4, 5)",0.5,64,0.001,0.7692307692307693
"(3, 4, 5)",0.5,64,0.0007,0.7713625866050808
"(3, 4, 5)",0.5,64,0.0005,0.7686978148871914
"(3, 4, 5)",0.5,100,0.001,0.7697637235743471
"(3, 4, 5)",0.5,100,0.0007,0.7699413750222064
"(3, 4, 5)",0.5,100,0.0005,0.7676319062000355
"(3, 4, 5)",0.5,150,0.001,0.7676319062000355
"(3, 4, 5)",0.5,150,0.0007,0.765500088825724
"(3, 4, 5)",0.5,150,0.0005,0.7683425119914727
"(3, 4, 5)",0.7,64,0.001,0.7646118315864274
"(3, 4, 5)",0.7,64,0.0007,0.7647894830342867
"(3, 4, 5)",0.7,64,0.0005,0.7640788772428495
"(3, 4, 5)",0.7,100,0.001,0.7637235743471309
"(3, 4, 5)",0.7,100,0.0007,0.7633682714514123
"(3, 4, 5)",0.7,100,0.0005,0.7624800142121159
"(3, 4, 5)",0.7,150,0.001,0.7607034997335228
"(3, 4, 5)",0.7,150,0.0007,0.7623023627642566
"(3, 4, 5)",0.7,150,0.0005,0.76141410552496
"(2, 3, 4, 5)",0.3,64,0.001,0.7573281222241961
"(2, 3, 4, 5)",0.3,64,0.0007,0.7575057736720554
"(2, 3, 4, 5)",0.3,64,0.0005,0.7587493338070705
"(2, 3, 4, 5)",0.3,100,0.001,0.7596375910463671
"(2, 3, 4, 5)",0.3,100,0.0007,0.76141410552496
"(2, 3, 4, 5)",0.3,100,0.0005,0.7592822881506485
"(2, 3, 4, 5)",0.3,150,0.001,0.7587493338070705
"(2, 3, 4, 5)",0.3,150,0.0007,0.7591046367027892
"(2, 3, 4, 5)",0.3,150,0.0005,0.7582163794634926
"(2, 3, 4, 5)",0.5,64,0.001,0.7560845620891811
"(2, 3, 4, 5)",0.5,64,0.0007,0.7550186534020252
"(2, 3, 4, 5)",0.5,64,0.0005,0.7550186534020252
"(2, 3, 4, 5)",0.5,100,0.001,0.7550186534020252
"(2, 3, 4, 5)",0.5,100,0.0007,0.7550186534020252
"(2, 3, 4, 5)",0.5,100,0.0005,0.7535974418191508
"(2, 3, 4, 5)",0.5,150,0.001,0.7557292591934625
"(2, 3, 4, 5)",0.5,150,0.0007,0.7551963048498845
"(2, 3, 4, 5)",0.5,150,0.0005,0.754308047610588
"(2, 3, 4, 5)",0.7,64,0.001,0.7511103215491206
"(2, 3, 4, 5)",0.7,64,0.0007,0.7516432758926985
"(2, 3, 4, 5)",0.7,64,0.0005,0.7534197903712915
"(2, 3, 4, 5)",0.7,100,0.001,0.7516432758926985
"(2, 3, 4, 5)",0.7,100,0.0007,0.7527091845798544
"(2, 3, 4, 5)",0.7,100,0.0005,0.753064487475573
"(2, 3, 4, 5)",0.7,150,0.001,0.7534197903712915
"(2, 3, 4, 5)",0.7,150,0.0007,0.7518209273405578
"(2, 3, 4, 5)",0.7,150,0.0005,0.7519985787884171
